siteID,collectDate,mean_adjAshFreeDryMass
CRAM,2015-05-01,1e-4
CRAM,2015-07-01,0.0024666666666666665
CRAM,2015-09-01,0.00145
CRAM,2016-04-01,0.003933333333333333
CRAM,2016-07-01,0.0019428571428571429
CRAM,2016-09-01,0.0015142857142857143
CRAM,2017-05-01,9.125e-4
CRAM,2017-07-01,0.0014
CRAM,2017-09-01,0.0016571428571428572
CRAM,2018-05-01,0.0020875
CRAM,2018-07-01,0.0026249999999999997
CRAM,2018-09-01,0.001175
CRAM,2019-05-01,0.001325
CRAM,2019-07-01,0.0011125
CRAM,2019-09-01,7.250000000000001e-4
CRAM,2020-06-01,0.0012125
CRAM,2020-07-01,8e-4
CRAM,2020-09-01,5.875e-4
CRAM,2021-04-01,0.0011375
CRAM,2021-07-01,0.0012749999999999999
CRAM,2021-09-01,0.0014375
CRAM,2022-05-01,8.874999999999999e-4
CRAM,2022-07-01,9.875e-4
CRAM,2022-09-01,0.0026375
CRAM,2023-05-01,6.25e-4
CRAM,2023-07-01,0.0025
CRAM,2023-09-01,0.0017125
PRLA,2014-05-01,9.666666666666667e-4
PRLA,2014-07-01,0.0012
PRLA,2014-09-01,0.0093875
PRLA,2015-07-01,0.0042625
PRLA,2015-09-01,0.0034875
PRLA,2016-04-01,0.0017
PRLA,2016-07-01,0.003025
PRLA,2016-09-01,0.001925
PRLA,2017-04-01,0.0019625
PRLA,2017-07-01,0.0029875
PRLA,2017-09-01,0.0024625
PRLA,2018-05-01,0.002925
PRLA,2018-07-01,0.0023375
PRLA,2018-09-01,0.003175
PRLA,2019-04-01,0.00105
PRLA,2019-09-01,0.0016125
PRLA,2020-06-01,0.001125
PRLA,2020-07-01,0.002
PRLA,2020-09-01,-0.0036999999999999997
PRLA,2021-04-01,0.00135
PRLA,2021-07-01,0.002225
PRLA,2021-09-01,2.0000000000000004e-4
PRLA,2022-04-01,0.001825
PRLA,2022-07-01,0.0015249999999999999
PRLA,2022-09-01,0.0017
PRLA,2023-05-01,0.0031375
PRLA,2023-07-01,0.0038
PRLA,2023-09-01,0.003375
TOOK,2016-08-01,7.875e-4
TOOK,2017-06-01,0.0025714285714285713
TOOK,2017-07-01,8.125e-4
TOOK,2017-09-01,5e-4
TOOK,2018-06-01,6.714285714285714e-4
TOOK,2018-08-01,0.0014
TOOK,2018-09-01,0.0017625
TOOK,2019-06-01,0.001175
TOOK,2019-07-01,5.125e-4
TOOK,2019-09-01,2.4999999999999998e-5
TOOK,2020-07-01,7.875e-4
TOOK,2020-08-01,0.0068000000000000005
TOOK,2020-09-01,0.00325
TOOK,2021-07-01,0.00175
TOOK,2021-09-01,0.0017125
TOOK,2022-06-01,9.25e-4
TOOK,2022-08-01,5e-4
TOOK,2022-09-01,7.25e-4
TOOK,2023-07-01,0.00194375
TOOK,2023-09-01,7.875e-4
